method,mean_total_time,std_total_time,mean_time_per_feature
xi,0.32703809666666833,0.04630242601668257,0.004037507366255164
mi,7.296844859999995,0.5638580801441266,0.09008450444444438
dc,1.8299430566666843,0.07947825366918589,0.022591889588477583
